Player,Our Prediction,DraftKings Prediction,Position,Salary
Steve Blake,14.242669236002154,11.389000000000001,PG,3100
Tayshaun Prince,17.19531003717681,7.5499999999999998,SF,3100
Rasual Butler,15.147185947344513,7.4029999999999996,SG,3100
C.J. Watson,22.638504505210111,13.875,PG,3100
Luc Richard Mbah a Moute,19.032333983077248,4.2110000000000003,SF,3100
Aron Baynes,17.085954034131859,10.909000000000001,C,3100
Lance Thomas,16.220831642665868,10.568,SF,3100
Jeff Withey,0,7.3250000000000002,C,3100
Derrick Williams,26.983079392537668,12.380999999999998,SF,3100
Mike Muscala,17.962828808933644,10.640999999999998,C,3100
Jerian Grant,0,12.898,PG,3100
Shabazz Napier,11.000687098769145,9.5259999999999998,PG,3100
Joe Ingles,15.012735981133805,7.75,SG,3100
Boban Marjanovic,0,6.1139999999999999,C,3100
James Ennis,19.324636797036312,2.625,SG,3100
P.J. Hairston,11.891405586728668,8.8819999999999997,SF,3100
Lucas Nogueira,0,10.417,C,3100
Trey Lyles,0,5.5,PF,3100
Vince Carter,14.877244550457158,9.3000000000000007,SG,3000
Andre Miller,15.941315660533643,13.860999999999999,PG,3000
Louis Amundson,0,6.1500000000000004,PF,3000
Alan Anderson,17.541644102408469,0.0,SG,3000
Chris Andersen,11.334277813319027,4.4169999999999998,C,3000
Ronnie Price,14.546354194554176,8.4379999999999988,PG,3000
Drew Gooden,18.459947634033071,11.542,PF,3000
Amar'e Stoudemire,18.97838156879364,9.0,PF,3000
Mike Dunleavy,19.958664690474375,0.0,SF,3000
Chris Copeland,3.0504961965619088,4.5330000000000004,PF,3000
Udonis Haslem,11.872214460521089,6.0,PF,3000
Sasha Vujacic,0,9.875,SG,3000
Beno Udrih,19.094326678997877,9.4039999999999999,PG,3000
Brian Roberts,19.267196268174015,5.6110000000000007,PG,3000
Joel Anthony,0,3.8130000000000002,PF,3000
Tyler Hansbrough,0,6.9689999999999994,PF,3000
Jodie Meeks,19.203963234602742,2.0,SG,3000
Sonny Weems,0,4.5,SG,3000
JaVale McGee,0,8.4169999999999998,C,3000
Elijah Millsap,14.47908413276649,4.556,SG,3000
Jeremy Evans,0,5.859,SF,3000
Tiago Splitter,19.963265067096703,12.339,C,3000
Justin Holiday,0,8.1959999999999997,SG,3000
E'Twaun Moore,0,10.056000000000001,SG,3000
Cole Aldrich,20.969606456133679,2.0499999999999998,C,3000
Robert Sacre,16.427402657421734,7.5829999999999993,C,3000
DeJuan Blair,0,6.1670000000000007,C,3000
Tyler Zeller,18.180694741880423,7.2329999999999997,C,3000
Chris Johnson,14.609767047920165,3.0710000000000002,SF,3000
Miles Plumlee,7.9485314281925739,4.4669999999999996,C,3000
Shelvin Mack,15.080726432223228,8.5279999999999987,PG,3000
Kyle O'Quinn,13.564965311025739,13.074000000000002,PF,3000
Jonas Jerebko,17.33680598567377,8.9169999999999998,PF,3000
Lamar Patterson,0,8.125,SG,3000
C.J. Wilcox,0,0.0,SG,3000
John Jenkins,0,6.4000000000000004,SG,3000
Ryan Kelly,25.025872459259563,11.821,SF,3000
Cory Jefferson,0,4.5,PF,3000
Troy Daniels,0,3.0710000000000002,PG,3000
Tibor Pleiss,0,1.6880000000000002,C,3000
Cameron Bairstow,0,2.875,PF,3000
Tarik Black,20.337325962038019,9.8439999999999994,C,3000
Tim Hardaway Jr.,23.664118407864784,5.4379999999999997,SG,3000
Anthony Brown,0,2.5,SF,3000
Reggie Bullock,0,1.6040000000000001,SF,3000
Pablo Prigioni,14.640903366000888,6.7860000000000005,PG,3000
Russ Smith,0,2.8500000000000001,PG,3000
Jonathon Simmons,0,9.9689999999999994,SF,3000
Devyn Marble,0,0.94999999999999996,SF,3000
Adreian Payne,18.703542373321064,9.1349999999999998,PF,3000
Marcelo Huertas,0,11.0,PG,3000
Salah Mejri,0,2.3500000000000001,C,3000
Ray McCallum,25.789800804035131,3.6819999999999999,PG,3000
Bryce Cotton,0,0.0,PG,3000
Darrun Hilliard,0,5.0629999999999997,SG,3000
Spencer Dinwiddie,13.132420878870541,9.0939999999999994,PG,3000
Michael Kidd-Gilchrist,26.467611886735114,0.0,SF,3000
Johnny O'Bryant,0,9.1129999999999995,PF,3000
Josh Richardson,0,3.4169999999999998,SG,3000
K.J. McDaniels,5.5435921836062612,3.6430000000000002,SF,3000
Branden Dawson,0,0.0,SF,3000
Norman Powell,0,3.25,SG,3000
Jarnell Stokes,0,1.25,PF,3000
Sam Dekker,0,1.083,SF,3000
R.J. Hunter,0,6.5360000000000005,SG,3000
Jordan Adams,0,9.5,SG,3000
Justin Anderson,0,4.3129999999999997,SF,3000
Montrezl Harrell,0,7.3829999999999991,PF,3000
Archie Goodwin,19.836135313094207,8.4550000000000001,SG,3000
Anthony Bennett,12.020066293647194,4.0,SF,3000
Cleanthony Early,12.757321204913493,2.214,SF,3000
Delon Wright,0,1.125,PG,3000
Jarell Martin,0,0.0,PF,3000
Jordan Mickey,0,6.125,PF,3000
Bobby Portis,0,7.4170000000000007,PF,3000
Terry Rozier,0,3.911,PG,3000
Tyler Ennis,0,7.9720000000000004,PG,3000
James Young,0,3.8500000000000001,SG,3000
Aaron Harrison,0,1.75,PG,3000
Dante Exum,17.389776475562432,0.0,PG,3000
Bruno Caboclo,0,0.0,SF,3000
Damien Inglis,0,4.7999999999999998,SF,3000
Walter Tavares,0,1.5,C,3000
Damjan Rudez,0,4.4379999999999997,SF,3000
Cristiano Felicio,0,1.75,C,3000
Mario Hezonja,0,6.5139999999999993,SG,3000
Tyus Jones,0,2.875,PG,3000
Kelly Oubre Jr.,0,4.3650000000000002,SF,3000
Rashad Vaughn,0,4.9169999999999998,SG,3000
