,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,position,team,id,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score
7584,8.0,0.0,0.0,0.0,1.0,11.0,3.0,4.0,2.0,0.0,0.0,17.0,1.0,0.0,4.0,4.0,0.0,0.0,400828034.0,Cliff Alexander, PF,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7585,-8.0,1.0,1.0,2.0,0.0,23.0,1.0,11.0,8.0,0.0,0.0,27.0,1.0,4.0,17.0,2.0,0.0,0.0,400828034.0,Allen Crabbe, SF,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7586,-5.0,1.0,0.0,1.0,0.0,10.0,0.0,3.0,1.0,2.0,2.0,21.0,2.0,0.0,4.0,2.0,1.0,0.0,400828034.0,Maurice Harkless, SF,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7587,-4.0,0.0,0.0,3.0,1.0,20.25,5.0,7.0,3.0,0.0,0.0,22.0,0.0,6.0,6.0,5.0,1.0,1.0,400828034.0,Ed Davis, C,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7588,2.0,0.0,0.0,1.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400828034.0,Tim Frazier, PG,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7589,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400828034.0,Pat Connaughton, SG,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7590,-15.0,1.0,0.0,0.0,0.0,0.25,1.0,3.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,2.0,400828034.0,Gerald Henderson, SG,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7591,,,,,,,,,,,,,,,,,,,400828034.0,Chris Kaman, C,Portland Trail Blazers,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7592,9.0,3.0,0.0,2.0,2.0,25.5,8.0,8.0,3.0,2.0,1.0,34.0,0.0,2.0,7.0,8.0,1.0,1.0,400828034.0,Marvin Williams, PF,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
7593,5.0,1.0,0.0,0.0,0.0,5.25,0.0,2.0,1.0,0.0,0.0,9.0,1.0,0.0,2.0,1.0,1.0,0.0,400828034.0,P.J. Hairston, SF,Charlotte Hornets,400828034,7,4,2015-11-15,Charlotte Hornets,5,106,5,Portland Trail Blazers,94
