AvgPts,Ceiling,CeilingPct,Consistency,Floor,FloorPct,ImpPts,OppPlusMinusPct,Plus_Minus,ProjPlusMinusPct,Score,Season_PPG,Season_Plus_Minus,Upside,Vegas,AdjYPA,PassINTPct,PassSackPct,PassTDPct,PassingSuccessfulPct,YardsPerPassingAttempt,ActualPoints
22.1,33.8,89,100,10.4,86,17.41,89,95,83,95.0,21.5,6.3,99,92,7.51,1.7,4.4,5.1,50.61,8.17,18.3
12.8,22.5,5,40,3.1,1,13.91,18,15,21,15.0,8.4,-5.7,65,8,5.6,1.9,4.6,3.0,47.69,7.09,19.0
21.0,32.3,82,65,9.7,80,16.48,1,64,82,64.0,18.8,2.1,100,89,7.39,1.9,6.9,4.8,46.06,6.65,14.6
17.1,27.2,44,74,7.0,31,14.61,6,82,55,82.0,18.8,4.0,100,28,6.46,3.2,3.4,5.3,45.41,7.22,11.9
16.5,26.8,42,64,6.2,16,15.07,4,66,43,66.0,17.8,2.3,98,15,5.61,3.2,8.0,4.2,50.66,7.62,9.1
23.3,38.0,99,62,8.6,53,19.98,92,93,68,93.0,24.6,5.6,99,79,7.72,1.4,4.3,5.7,56.14,8.49,13.9
21.9,32.3,82,84,11.5,95,17.18,59,96,84,96.0,22.8,6.6,100,76,5.87,3.3,7.8,5.6,47.95,7.31,25.9
19.5,32.1,85,100,6.9,22,16.01,93,79,69,79.0,19.6,3.7,99,74,5.55,2.9,4.0,3.2,48.99,7.08,23.0
19.4,29.7,67,84,9.1,69,15.31,75,71,77,71.0,17.6,2.9,99,59,6.67,1.0,8.0,4.0,43.27,6.34,18.7
22.6,36.5,97,50,8.7,57,18.81,1,78,73,78.0,21.8,3.4,99,82,6.48,3.7,4.2,4.6,49.76,7.57,36.9
16.7,27.2,43,77,6.2,20,13.91,81,73,60,73.0,17.0,3.0,99,49,5.52,2.6,6.8,3.5,51.68,7.53,13.5
23.5,34.5,92,68,12.5,97,19.51,64,82,76,82.0,24.0,4.0,98,68,6.0,2.3,5.9,5.3,47.91,7.5,18.7
17.7,29.8,69,100,5.6,10,14.84,91,86,62,86.0,18.5,4.3,98,66,7.09,3.2,5.2,5.5,42.26,6.18,6.7
17.2,27.8,48,100,6.6,29,14.14,12,49,64,49.0,14.9,1.0,54,57,5.35,0.0,9.7,0.0,47.9,6.85,9.5
23.5,39.0,99,62,8.0,40,18.35,49,76,89,76.0,20.3,3.3,99,95,6.65,1.5,5.3,4.4,49.03,7.88,22.8
19.8,32.6,86,100,7.0,26,17.18,97,82,57,82.0,18.6,4.0,99,77,8.05,0.0,3.7,5.0,48.39,7.25,17.9
14.8,25.9,32,31,3.7,1,13.91,57,11,35,11.0,5.7,-8.3,54,22,5.51,1.4,5.3,1.4,49.81,7.85,6.5
18.6,33.1,86,19,4.1,3,15.07,66,7,70,7.0,2.3,-11.6,54,86,5.25,7.0,0.0,7.0,44.82,6.92,8.5
15.6,25.3,22,77,5.9,17,13.91,34,70,45,70.0,16.7,2.8,99,28,5.62,2.7,6.5,3.6,52.39,7.57,21.5
24.7,38.2,98,59,11.2,94,20.21,19,33,81,33.0,19.5,-0.3,92,93,5.56,1.7,8.2,5.0,46.7,7.55,17.9
16.3,26.3,32,77,6.3,24,14.61,13,40,45,40.0,15.2,0.3,98,5,5.52,2.9,6.7,3.7,43.56,6.37,10.4
17.3,29.4,65,40,5.2,7,15.07,78,42,52,42.0,14.6,0.4,99,52,6.4,1.5,6.0,4.8,48.4,7.36,26.8
22.0,35.1,95,84,8.9,59,18.11,77,81,74,81.0,20.1,3.8,99,90,6.45,2.2,4.9,5.7,48.18,6.98,26.0
19.4,29.3,59,84,9.5,80,15.77,89,87,72,87.0,19.5,4.5,99,37,6.19,2.8,4.8,4.2,56.19,7.79,15.4
13.7,24.6,18,68,2.8,0,14.14,4,33,25,33.0,16.1,-0.2,98,57,6.21,2.2,5.4,3.5,47.64,7.12,18.6
19.0,31.7,82,62,6.3,18,16.24,88,67,60,67.0,20.0,2.4,99,44,6.61,2.8,4.4,5.1,50.41,7.62,11.1
19.0,31.2,79,100,6.8,24,15.54,14,78,69,78.0,18.5,3.5,99,68,6.26,2.4,7.9,4.1,51.58,7.76,5.6
17.8,28.9,57,79,6.7,33,14.37,48,76,69,76.0,18.5,3.2,99,55,6.92,1.2,8.5,4.2,47.12,7.2,15.8
19.1,31.1,78,50,7.1,29,18.81,11,58,30,58.0,19.5,1.7,98,39,6.91,2.6,5.2,4.2,51.77,7.16,15.0
18.2,29.2,67,100,7.2,27,16.48,20,94,46,94.0,21.3,5.9,99,37,7.57,2.1,5.2,5.8,51.45,7.93,13.3
14.2,23.6,10,41,4.8,6,13.91,10,18,30,18.0,9.5,-4.6,85,28,6.15,1.5,4.6,3.3,47.29,7.04,8.8
19.5,30.1,69,65,8.9,69,16.01,73,57,69,57.0,18.3,1.5,99,74,7.06,1.9,7.0,4.7,45.44,6.55,22.2
19.3,29.0,61,74,9.6,75,14.14,75,80,89,80.0,18.6,3.8,100,34,6.18,3.4,3.8,5.1,48.21,7.56,15.1
17.7,28.9,57,65,6.5,29,14.84,22,58,62,58.0,17.1,1.6,98,44,5.55,3.2,7.5,3.9,50.7,7.58,30.5
19.0,32.2,85,100,5.8,11,16.71,57,82,52,82.0,20.0,4.0,99,74,5.55,2.6,3.9,3.1,48.58,6.99,13.0
17.3,30.0,66,16,4.6,6,13.91,42,0,68,0.0,0.2,-13.8,54,63,-0.66,10.0,5.7,0.0,45.44,6.93,12.8
23.2,37.5,98,51,8.9,61,19.05,84,87,78,87.0,23.0,4.5,99,97,6.84,3.5,4.3,5.5,49.62,7.44,33.2
18.8,30.8,77,84,6.8,24,17.64,1,89,39,89.0,21.5,5.0,100,46,6.82,2.2,7.7,5.8,50.46,7.45,19.8
22.9,33.8,91,74,12.0,95,19.28,30,76,72,76.0,23.3,3.4,98,84,5.85,2.4,6.9,5.5,46.58,7.47,25.2
